timestamp,新能源差值,负荷差值,联络线差值
2023-09-01 00:00:00,817.4100000000003,1195.449999999997,-70.71500000000015
2023-09-01 00:15:00,866.8199999999997,1051.6800000000003,-114.04399999999987
2023-09-01 00:30:00,979.98,1374.0639999999985,14.078999999999724
2023-09-01 00:45:00,939.3899999999999,1299.036,56.02299999999923
2023-09-01 01:00:00,919.75,1330.1959999999963,104.69900000000052
2023-09-01 01:15:00,948.2699999999995,888.4059999999954,-35.95499999999993
2023-09-01 01:30:00,1036.0699999999997,890.2930000000051,48.435999999999694
2023-09-01 01:45:00,1072.6799999999998,666.4239999999991,-100.24799999999959
2023-09-01 02:00:00,991.7399999999998,901.0429999999978,-200.57300000000032
2023-09-01 02:15:00,897.9400000000003,855.4990000000034,28.549000000000888
2023-09-01 02:30:00,803.1000000000001,778.5360000000001,-93.24599999999919
2023-09-01 02:45:00,760.21,511.7300000000032,-170.3070000000007
2023-09-01 03:00:00,796.8399999999997,637.4329999999973,4.753000000000611
2023-09-01 03:15:00,753.6699999999998,717.4379999999946,6.360000000000582
2023-09-01 03:30:00,644.4899999999998,606.3940000000002,172.02100000000064
2023-09-01 03:45:00,622.81,510.599000000002,-99.21299999999974
2023-09-01 04:00:00,583.26,453.58000000000175,-21.23199999999997
2023-09-01 04:15:00,604.44,596.8289999999979,-108.62900000000081
2023-09-01 04:30:00,835.4999999999998,549.9709999999977,-128.57400000000052
2023-09-01 04:45:00,887.0800000000002,449.7170000000042,-169.71500000000015
2023-09-01 05:00:00,657.81,347.1800000000003,-225.5069999999996
2023-09-01 05:15:00,357.20000000000005,129.30299999999988,-31.36700000000019
2023-09-01 05:30:00,213.30999999999995,242.45300000000134,-158.89400000000023
2023-09-01 05:45:00,261.91999999999985,432.93399999999383,-126.55099999999948
2023-09-01 06:00:00,312.93000000000006,648.3020000000033,-262.0149999999994
2023-09-01 06:15:00,380.1600000000001,743.1790000000037,-6.769000000000233
2023-09-01 06:30:00,642.4800000000002,615.7260000000024,29.40899999999965
2023-09-01 06:45:00,810.8199999999997,326.77900000000227,80.05400000000009
2023-09-01 07:00:00,879.5699999999997,1239.4720000000016,186.71299999999974
2023-09-01 07:15:00,641.3400000000001,1399.387999999999,30.313999999998487
2023-09-01 07:30:00,676.6699999999996,1767.520000000004,153.54999999999927
2023-09-01 07:45:00,383.09999999999945,2327.604999999996,-66.24499999999898
2023-09-01 08:00:00,165.67000000000007,3997.4389999999985,125.5659999999989
2023-09-01 08:15:00,179.09000000000015,4126.1470000000045,51.58899999999994
2023-09-01 08:30:00,56.099999999999454,4452.398000000001,332.7599999999984
2023-09-01 08:45:00,203.92000000000007,4166.885000000002,-20.74499999999898
2023-09-01 09:00:00,199.98999999999887,4874.603999999999,-75.97300000000178
2023-09-01 09:15:00,126.19999999999982,4923.184000000001,233.15999999999985
2023-09-01 09:30:00,-223.52000000000044,5041.009999999995,-10.30199999999968
2023-09-01 09:45:00,-275.47999999999956,5236.664000000004,-16.602999999999156
2023-09-01 10:00:00,230.23999999999978,5784.935000000005,-58.720000000001164
2023-09-01 10:15:00,302.85000000000036,5543.455000000002,-158.03299999999945
2023-09-01 10:30:00,-223.60999999999876,5555.916000000005,222.23899999999958
2023-09-01 10:45:00,253.3700000000008,5588.219999999994,-8.516999999999825
2023-09-01 11:00:00,376.64999999999964,5077.892,-171.82899999999972
2023-09-01 11:15:00,300.0699999999997,5389.269999999997,325.7430000000004
2023-09-01 11:30:00,237.48999999999978,5618.0639999999985,-174.27499999999964
2023-09-01 11:45:00,-121.21000000000095,5991.762999999999,589.7039999999997
2023-09-01 12:00:00,-278.65999999999985,6044.4100000000035,-161.13400000000001
2023-09-01 12:15:00,-726.2699999999986,6384.123,-59.152000000000044
2023-09-01 12:30:00,-310.5099999999984,6857.844999999994,-96.61000000000058
2023-09-01 12:45:00,146.53000000000065,6601.236000000004,137.0
2023-09-01 13:00:00,129.61000000000058,6950.023999999998,127.07500000000073
2023-09-01 13:15:00,217.8099999999995,6534.3139999999985,78.67400000000089
2023-09-01 13:30:00,61.600000000000364,6344.707000000002,7.685999999999694
2023-09-01 13:45:00,-451.22000000000025,6005.342000000004,-236.28900000000067
2023-09-01 14:00:00,-174.78000000000065,6084.717000000004,134.97399999999834
2023-09-01 14:15:00,-215.3199999999997,5435.6730000000025,-288.4330000000009
2023-09-01 14:30:00,-112.36000000000058,5854.707000000002,-102.00500000000102
2023-09-01 14:45:00,-2.4899999999997817,5414.010000000002,-194.68700000000172
2023-09-01 15:00:00,-70.82999999999993,5753.546000000002,-61.17199999999866
2023-09-01 15:15:00,-81.11999999999989,5343.687000000005,-41.82600000000093
2023-09-01 15:30:00,-260.5600000000004,5163.916000000005,19.276999999998225
2023-09-01 15:45:00,-257.7699999999995,4174.146000000001,-479.77400000000125
2023-09-01 16:00:00,-345.42999999999984,4217.953999999998,77.94499999999971
2023-09-01 16:15:00,-501.3499999999999,4202.257000000005,-119.67799999999988
2023-09-01 16:30:00,-464.7399999999998,4264.015000000007,136.31299999999828
2023-09-01 16:45:00,-538.2700000000004,3899.4279999999926,-303.97699999999895
2023-09-01 17:00:00,-628.8700000000001,3543.4429999999993,227.97399999999834
2023-09-01 17:15:00,-525.22,3199.347000000009,-6.74199999999837
2023-09-01 17:30:00,-490.43000000000006,3355.1879999999946,156.75
2023-09-01 17:45:00,-449.2099999999999,2730.2509999999893,-94.57700000000114
2023-09-01 18:00:00,-454.03999999999996,2663.8610000000044,303.3909999999996
2023-09-01 18:15:00,-505.1200000000001,2473.6120000000083,-38.96099999999933
