timestamp,day_type
2024-09-08,Week Day & Change Holiday
2024-09-09,Work Day
2024-09-10,Work Day
2024-09-11,Work Day
2024-09-12,Work Day
2024-09-13,Work Day
2024-09-14,Work Day
2024-09-15,Mid-autumn Festival
2024-09-16,Mid-autumn Festival
2024-09-17,Mid-autumn Festival
2024-09-18,Work Day
2024-09-19,Work Day
2024-09-20,Work Day
2024-09-21,Week Day & Change Holiday
2024-09-22,Week Day & Change Holiday
2024-09-23,Work Day
2024-09-24,Work Day
2024-09-25,Work Day
2024-09-26,Work Day
2024-09-27,Work Day
2024-09-28,Week Day & Change Holiday
2024-09-29,Work Day
2024-09-30,Work Day
2024-10-01,National Day
2024-10-02,National Day
2024-10-03,National Day
2024-10-04,National Day
2024-10-05,National Day
2024-10-06,National Day
2024-10-07,National Day
2024-10-08,Work Day
2024-10-09,Work Day
2024-10-10,Work Day
2024-10-11,Work Day
2024-10-12,Work Day
2024-10-13,Week Day & Change Holiday
2024-10-14,Work Day
2024-10-15,Work Day
2024-10-16,Work Day
2024-10-17,Work Day
2024-10-18,Work Day
2024-10-19,Week Day & Change Holiday
2024-10-20,Week Day & Change Holiday
2024-10-21,Work Day
2024-10-22,Work Day
2024-10-23,Work Day
2024-10-24,Work Day
2024-10-25,Work Day
2024-10-26,Week Day & Change Holiday
2024-10-27,Week Day & Change Holiday
2024-10-28,Work Day
2024-10-29,Work Day
2024-10-30,Work Day
2024-10-31,Work Day
2024-11-01,Work Day
2024-11-02,Week Day & Change Holiday
2024-11-03,Week Day & Change Holiday
2024-11-04,Work Day
2024-11-05,Work Day
2024-11-06,Work Day
2024-11-07,Work Day
2024-11-08,Work Day
2024-11-09,Week Day & Change Holiday
2024-11-10,Week Day & Change Holiday
2024-11-11,双11
2024-11-12,Work Day
2024-11-13,Work Day
2024-11-14,Work Day
2024-11-15,Work Day
2024-11-16,Week Day & Change Holiday
2024-11-17,Week Day & Change Holiday
2024-11-18,Work Day
2024-11-19,Work Day
2024-11-20,Work Day
2024-11-21,Work Day
2024-11-22,Work Day
2024-11-23,Week Day & Change Holiday
2024-11-24,Week Day & Change Holiday
2024-11-25,Work Day
2024-11-26,Work Day
2024-11-27,Work Day
2024-11-28,Work Day
2024-11-29,Work Day
2024-11-30,Week Day & Change Holiday
2024-12-01,Week Day & Change Holiday
2024-12-02,Work Day
2024-12-03,Work Day
2024-12-04,Work Day
2024-12-05,Work Day
2024-12-06,Work Day
2024-12-07,Week Day & Change Holiday
2024-12-08,Week Day & Change Holiday
2024-12-09,Work Day
2024-12-10,Work Day
2024-12-11,Work Day
2024-12-12,双12
2024-12-13,Work Day
2024-12-14,Week Day & Change Holiday
2024-12-15,Week Day & Change Holiday
2024-12-16,Work Day
2024-12-17,Work Day
2024-12-18,Work Day
2024-12-19,Work Day
2024-12-20,Work Day
2024-12-21,Week Day & Change Holiday
2024-12-22,Week Day & Change Holiday
2024-12-23,Work Day
2024-12-24,Work Day
2024-12-25,Work Day
2024-12-26,Work Day
2024-12-27,Work Day
2024-12-28,Week Day & Change Holiday
2024-12-29,Week Day & Change Holiday
2024-12-30,Work Day
2024-12-31,Work Day
