timestamp,day_type
2022-07-20,Work Day
2022-07-21,Work Day
2022-07-22,Work Day
2022-07-23,Week Day & Change Holiday
2022-07-24,Week Day & Change Holiday
2022-07-25,Work Day
2022-07-26,Work Day
2022-07-27,Work Day
2022-07-28,Work Day
2022-07-29,Work Day
2022-07-30,Week Day & Change Holiday
2022-07-31,Week Day & Change Holiday
2022-08-01,Work Day
2022-08-02,Work Day
2022-08-03,Work Day
2022-08-04,Work Day
2022-08-05,Work Day
2022-08-06,Week Day & Change Holiday
2022-08-07,Week Day & Change Holiday
2022-08-08,Work Day
2022-08-09,Work Day
2022-08-10,Work Day
2022-08-11,Work Day
2022-08-12,Work Day
2022-08-13,Week Day & Change Holiday
2022-08-14,Week Day & Change Holiday
2022-08-15,Work Day
2022-08-16,Work Day
2022-08-17,Work Day
2022-08-18,818
2022-08-19,Work Day
2022-08-20,Week Day & Change Holiday
2022-08-21,Week Day & Change Holiday
2022-08-22,Work Day
2022-08-23,Work Day
2022-08-24,Work Day
2022-08-25,Work Day
2022-08-26,Work Day
2022-08-27,Week Day & Change Holiday
2022-08-28,Week Day & Change Holiday
2022-08-29,Work Day
2022-08-30,Work Day
2022-08-31,Work Day
2022-09-01,Work Day
2022-09-02,Work Day
2022-09-03,Week Day & Change Holiday
2022-09-04,Week Day & Change Holiday
2022-09-05,Work Day
2022-09-06,Work Day
2022-09-07,Work Day
2022-09-08,Work Day
2022-09-09,Work Day
2022-09-10,Mid-autumn Festival
2022-09-11,Mid-autumn Festival
2022-09-12,Mid-autumn Festival
2022-09-13,Work Day
2022-09-14,Work Day
2022-09-15,Work Day
2022-09-16,Work Day
2022-09-17,Week Day & Change Holiday
2022-09-18,Week Day & Change Holiday
2022-09-19,Work Day
2022-09-20,Work Day
2022-09-21,Work Day
2022-09-22,Work Day
2022-09-23,Work Day
2022-09-24,Week Day & Change Holiday
2022-09-25,Week Day & Change Holiday
2022-09-26,Work Day
2022-09-27,Work Day
2022-09-28,Work Day
2022-09-29,Work Day
2022-09-30,Work Day
2022-10-01,National Day
2022-10-02,National Day
2022-10-03,National Day
2022-10-04,National Day
2022-10-05,National Day
2022-10-06,National Day
2022-10-07,National Day
2022-10-08,Work Day
2022-10-09,Work Day
2022-10-10,Work Day
2022-10-11,Work Day
2022-10-12,Work Day
2022-10-13,Work Day
2022-10-14,Work Day
2022-10-15,Week Day & Change Holiday
2022-10-16,Week Day & Change Holiday
2022-10-17,Work Day
2022-10-18,Work Day
2022-10-19,Work Day
2022-10-20,Work Day
2022-10-21,Work Day
2022-10-22,Week Day & Change Holiday
2022-10-23,Week Day & Change Holiday
2022-10-24,Work Day
2022-10-25,Work Day
2022-10-26,Work Day
2022-10-27,Work Day
2022-10-28,Work Day
2022-10-29,Week Day & Change Holiday
2022-10-30,Week Day & Change Holiday
2022-10-31,Work Day
2022-11-01,Work Day
2022-11-02,Work Day
2022-11-03,Work Day
2022-11-04,Work Day
2022-11-05,Week Day & Change Holiday
2022-11-06,Week Day & Change Holiday
2022-11-07,Work Day
2022-11-08,Work Day
2022-11-09,Work Day
2022-11-10,Work Day
2022-11-11,双11
2022-11-12,Week Day & Change Holiday
2022-11-13,Week Day & Change Holiday
2022-11-14,Work Day
2022-11-15,Work Day
2022-11-16,Work Day
2022-11-17,Work Day
2022-11-18,Work Day
2022-11-19,Week Day & Change Holiday
2022-11-20,Week Day & Change Holiday
2022-11-21,Work Day
2022-11-22,Work Day
2022-11-23,Work Day
2022-11-24,Work Day
2022-11-25,Work Day
2022-11-26,Week Day & Change Holiday
2022-11-27,Week Day & Change Holiday
2022-11-28,Work Day
2022-11-29,Work Day
2022-11-30,Work Day
2022-12-01,Work Day
2022-12-02,Work Day
2022-12-03,Week Day & Change Holiday
2022-12-04,Week Day & Change Holiday
2022-12-05,Work Day
2022-12-06,Work Day
2022-12-07,Work Day
2022-12-08,Work Day
2022-12-09,Work Day
2022-12-10,Week Day & Change Holiday
2022-12-11,Week Day & Change Holiday
2022-12-12,双12
2022-12-13,Work Day
2022-12-14,Work Day
2022-12-15,Work Day
2022-12-16,Work Day
2022-12-17,Week Day & Change Holiday
2022-12-18,Week Day & Change Holiday
2022-12-19,Work Day
2022-12-20,Work Day
2022-12-21,Work Day
2022-12-22,Work Day
2022-12-23,Work Day
2022-12-24,Week Day & Change Holiday
2022-12-25,Week Day & Change Holiday
2022-12-26,Work Day
2022-12-27,Work Day
2022-12-28,Work Day
2022-12-29,Work Day
2022-12-30,Work Day
2022-12-31,New Year's Day
2023-01-01,New Year's Day
2023-01-02,New Year's Day
2023-01-03,Work Day
2023-01-04,Work Day
2023-01-05,Work Day
2023-01-06,Work Day
2023-01-07,Week Day & Change Holiday
2023-01-08,Week Day & Change Holiday
2023-01-09,Work Day
2023-01-10,Work Day
2023-01-11,Work Day
2023-01-12,Work Day
2023-01-13,Work Day
2023-01-14,Week Day & Change Holiday
2023-01-15,Week Day & Change Holiday
2023-01-16,Work Day
2023-01-17,Work Day
2023-01-18,Work Day
2023-01-19,Work Day
2023-01-20,Work Day
2023-01-21,Spring Festival
2023-01-22,Spring Festival
2023-01-23,Spring Festival
2023-01-24,Spring Festival
2023-01-25,Spring Festival
2023-01-26,Spring Festival
2023-01-27,Spring Festival
2023-01-28,Work Day
2023-01-29,Work Day
2023-01-30,Work Day
2023-01-31,Work Day
2023-02-01,Work Day
2023-02-02,Work Day
2023-02-03,Work Day
2023-02-04,Week Day & Change Holiday
2023-02-05,Week Day & Change Holiday
2023-02-06,Work Day
2023-02-07,Work Day
2023-02-08,Work Day
2023-02-09,Work Day
2023-02-10,Work Day
2023-02-11,Week Day & Change Holiday
2023-02-12,Week Day & Change Holiday
2023-02-13,Work Day
2023-02-14,Work Day
2023-02-15,Work Day
2023-02-16,Work Day
2023-02-17,Work Day
2023-02-18,Week Day & Change Holiday
2023-02-19,Week Day & Change Holiday
2023-02-20,Work Day
2023-02-21,Work Day
2023-02-22,Work Day
2023-02-23,Work Day
2023-02-24,Work Day
2023-02-25,Week Day & Change Holiday
2023-02-26,Week Day & Change Holiday
2023-02-27,Work Day
2023-02-28,Work Day
2023-03-01,Work Day
2023-03-02,Work Day
2023-03-03,Work Day
2023-03-04,Week Day & Change Holiday
2023-03-05,Week Day & Change Holiday
2023-03-06,Work Day
2023-03-07,Work Day
2023-03-08,Work Day
2023-03-09,Work Day
2023-03-10,Work Day
2023-03-11,Week Day & Change Holiday
2023-03-12,Week Day & Change Holiday
2023-03-13,Work Day
2023-03-14,Work Day
2023-03-15,Work Day
2023-03-16,Work Day
2023-03-17,Work Day
2023-03-18,Week Day & Change Holiday
2023-03-19,Week Day & Change Holiday
2023-03-20,Work Day
2023-03-21,Work Day
2023-03-22,Work Day
2023-03-23,Work Day
2023-03-24,Work Day
2023-03-25,Week Day & Change Holiday
2023-03-26,Week Day & Change Holiday
2023-03-27,Work Day
2023-03-28,Work Day
2023-03-29,Work Day
2023-03-30,Work Day
2023-03-31,Work Day
2023-04-01,Week Day & Change Holiday
2023-04-02,Week Day & Change Holiday
2023-04-03,Work Day
2023-04-04,Work Day
2023-04-05,Tomb-sweeping Day
2023-04-06,Work Day
2023-04-07,Work Day
2023-04-08,Week Day & Change Holiday
2023-04-09,Week Day & Change Holiday
2023-04-10,Work Day
2023-04-11,Work Day
2023-04-12,Work Day
2023-04-13,Work Day
2023-04-14,Work Day
2023-04-15,Week Day & Change Holiday
2023-04-16,Week Day & Change Holiday
2023-04-17,Work Day
2023-04-18,Work Day
2023-04-19,Work Day
2023-04-20,Work Day
2023-04-21,Work Day
