timestamp,系统负荷,联络线,风电,光伏
2023-09-01 21:30:00,62053.01,17089.0,1328.29,10.02
2023-09-01 21:45:00,61155.4,16700.0,1331.95,10.34
2023-09-01 22:00:00,61181.61,16491.0,1333.76,10.58
2023-09-01 22:15:00,60395.81,15684.0,1338.02,10.75
2023-09-01 22:30:00,59465.93,14877.0,1336.8,10.87
2023-09-01 22:45:00,58786.67,14050.0,1336.79,10.99
2023-09-01 23:00:00,57616.09,13439.0,1333.96,11.15
2023-09-01 23:15:00,56780.24,13439.0,1326.16,11.37
2023-09-01 23:30:00,56000.01,13439.0,1318.16,11.58
2023-09-01 23:45:00,55264.17,13439.0,1310.37,11.5
2023-09-02 00:00:00,55975.97,13439.0,1105.9,0.0
2023-09-02 00:15:00,55663.23,13438.0,1089.12,0.0
2023-09-02 00:30:00,55469.22,13437.0,1070.52,0.0
2023-09-02 00:45:00,55197.1,13436.0,1053.89,0.0
2023-09-02 01:00:00,55038.21,13438.0,1039.98,0.0
2023-09-02 01:15:00,54812.77,13438.0,1028.91,0.0
2023-09-02 01:30:00,54655.55,13438.0,1019.92,0.0
2023-09-02 01:45:00,54429.8,13438.0,1012.47,0.0
2023-09-02 02:00:00,54333.27,13438.0,1012.83,0.0
2023-09-02 02:15:00,54275.61,13438.0,1009.55,0.0
2023-09-02 02:30:00,54128.69,13438.0,1006.97,0.0
2023-09-02 02:45:00,54099.1,13438.0,1003.13,0.0
2023-09-02 03:00:00,53946.18,13438.0,988.75,0.0
2023-09-02 03:15:00,53895.84,13438.0,977.5,0.0
2023-09-02 03:30:00,53889.7,13438.0,972.09,0.0
2023-09-02 03:45:00,54049.13,13438.0,968.68,0.0
2023-09-02 04:00:00,54156.24,13438.0,973.56,0.0
2023-09-02 04:15:00,54455.37,13438.0,969.85,0.0
2023-09-02 04:30:00,54763.48,13438.0,961.71,0.0
2023-09-02 04:45:00,55128.52,13438.0,939.57,0.08
2023-09-02 05:00:00,55780.58,13438.0,895.24,2.26
2023-09-02 05:15:00,56543.37,14038.0,865.26,9.03
2023-09-02 05:30:00,57259.44,14638.0,847.96,40.59
2023-09-02 05:45:00,57812.21,15238.0,830.82,139.04
2023-09-02 06:00:00,58521.77,15852.0,824.22,317.58
2023-09-02 06:15:00,58741.69,15855.0,810.82,571.94
2023-09-02 06:30:00,58534.9,15858.0,799.81,889.65
2023-09-02 06:45:00,57647.88,15861.0,784.86,1255.53
2023-09-02 07:00:00,57164.2,16234.0,754.06,1686.14
2023-09-02 07:15:00,56970.88,16607.0,711.56,2185.51
2023-09-02 07:30:00,56546.56,16980.0,666.32,2719.34
2023-09-02 07:45:00,56597.54,17375.0,614.75,3276.61
2023-09-02 08:00:00,56376.5,17591.0,570.82,3807.89
2023-09-02 08:15:00,56732.52,17667.0,528.88,4363.46
2023-09-02 08:30:00,56746.98,17743.0,488.87,4894.57
2023-09-02 08:45:00,56666.57,17839.0,446.18,5401.46
2023-09-02 09:00:00,56100.28,17698.0,418.25,5862.65
2023-09-02 09:15:00,55988.34,17706.0,398.2,6289.89
2023-09-02 09:30:00,55880.92,17714.0,380.51,6705.68
2023-09-02 09:45:00,55791.92,17722.0,364.1,7026.87
2023-09-02 10:00:00,55822.43,17733.0,358.75,7291.09
2023-09-02 10:15:00,56091.32,16852.0,355.72,7557.84
2023-09-02 10:30:00,56305.18,15971.0,356.01,7787.72
2023-09-02 10:45:00,56530.16,15090.0,365.76,7969.63
2023-09-02 11:00:00,56474.73,13982.0,373.96,8082.32
2023-09-02 11:15:00,55228.12,13772.0,383.74,8195.08
2023-09-02 11:30:00,54003.16,13562.0,389.8,8259.41
2023-09-02 11:45:00,52916.39,13332.0,402.73,8272.69
2023-09-02 12:00:00,52267.27,13334.0,417.27,8253.06
2023-09-02 12:15:00,52190.41,13333.0,429.97,8232.91
2023-09-02 12:30:00,52503.22,13332.0,437.96,8169.39
2023-09-02 12:45:00,53113.5,13331.0,455.13,8053.98
2023-09-02 13:00:00,53619.9,13329.0,471.64,7912.13
2023-09-02 13:15:00,54464.16,14209.0,490.54,7727.4
2023-09-02 13:30:00,55385.51,15089.0,514.49,7501.48
2023-09-02 13:45:00,56287.9,15969.0,543.42,7230.81
2023-09-02 14:00:00,57009.17,16868.0,574.89,6915.86
2023-09-02 14:15:00,57841.21,16863.0,611.37,6583.57
2023-09-02 14:30:00,58691.05,16858.0,649.69,6212.01
2023-09-02 14:45:00,59555.06,16853.0,693.41,5817.63
2023-09-02 15:00:00,60421.9,16845.0,744.93,5410.15
2023-09-02 15:15:00,61217.92,16975.0,802.67,4974.07
2023-09-02 15:30:00,61984.26,17105.0,861.44,4502.23
2023-09-02 15:45:00,62659.59,17235.0,921.1,4018.74
2023-09-02 16:00:00,63424.47,17367.0,991.56,3499.26
2023-09-02 16:15:00,64360.94,17351.0,1060.81,2983.73
2023-09-02 16:30:00,65085.79,17335.0,1130.04,2459.3
2023-09-02 16:45:00,65722.86,17319.0,1202.8,1950.77
2023-09-02 17:00:00,66635.68,17510.0,1287.91,1484.65
2023-09-02 17:15:00,67118.12,17719.0,1383.64,1050.27
2023-09-02 17:30:00,67255.53,17928.0,1483.08,670.31
2023-09-02 17:45:00,67537.49,18157.0,1585.32,367.28
2023-09-02 18:00:00,67966.93,18160.0,1701.96,167.2
2023-09-02 18:15:00,68026.16,18185.0,1819.02,55.26
2023-09-02 18:30:00,68119.51,18210.0,1939.66,13.51
2023-09-02 18:45:00,68287.63,18235.0,2064.4,1.86
2023-09-02 19:00:00,68206.16,18259.0,2197.15,0.0
2023-09-02 19:15:00,67889.31,18263.0,2339.06,0.0
2023-09-02 19:30:00,67458.84,18267.0,2492.86,0.0
2023-09-02 19:45:00,66990.52,18271.0,2665.19,0.0
2023-09-02 20:00:00,66624.6,18272.0,2855.47,0.0
2023-09-02 20:15:00,65965.2,18252.0,3008.43,0.0
2023-09-02 20:30:00,65423.33,18232.0,3140.11,0.0
2023-09-02 20:45:00,64686.7,18212.0,3266.0,0.0
2023-09-02 21:00:00,64174.84,17823.0,3351.89,0.0
2023-09-02 21:15:00,63397.56,17456.0,3449.68,0.0
2023-09-02 21:30:00,62550.96,17089.0,3556.06,0.0
2023-09-02 21:45:00,61696.77,16700.0,3644.0,0.0
2023-09-02 22:00:00,61687.02,16491.0,3699.63,0.0
2023-09-02 22:15:00,61032.69,15684.0,3734.19,0.0
2023-09-02 22:30:00,60130.8,14877.0,3773.12,0.0
2023-09-02 22:45:00,59105.98,14050.0,3800.1,0.0
2023-09-02 23:00:00,58371.08,13439.0,3770.24,0.0
2023-09-02 23:15:00,57454.89,13439.0,3737.99,0.0
2023-09-02 23:30:00,56747.1,13439.0,3700.68,0.0
2023-09-02 23:45:00,55974.87,13439.0,3732.96,0.0
2023-09-03 00:00:00,57918.73,13439.0,3735.47,0.0
2023-09-03 00:15:00,57475.31,13438.0,3675.95,0.0
2023-09-03 00:30:00,57090.3,13437.0,3615.78,0.0
2023-09-03 00:45:00,56615.88,13436.0,3566.31,0.0
2023-09-03 01:00:00,56157.49,13438.0,3522.48,0.0
2023-09-03 01:15:00,55869.02,13438.0,3486.52,0.0
2023-09-03 01:30:00,55603.17,13438.0,3460.16,0.0
2023-09-03 01:45:00,55447.54,13438.0,3443.0,0.0
2023-09-03 02:00:00,55237.38,13438.0,3443.1,0.0
2023-09-03 02:15:00,54968.04,13438.0,3436.62,0.0
2023-09-03 02:30:00,54676.8,13438.0,3423.67,0.0
2023-09-03 02:45:00,54496.51,13438.0,3411.06,0.0
2023-09-03 03:00:00,54385.51,13438.0,3398.47,0.0
2023-09-03 03:15:00,54264.19,13438.0,3385.4,0.0
2023-09-03 03:30:00,54198.31,13438.0,3369.67,0.0
2023-09-03 03:45:00,54264.02,13438.0,3354.48,0.0
2023-09-03 04:00:00,54373.4,13438.0,3324.96,0.0
2023-09-03 04:15:00,54695.73,13438.0,3295.39,0.0
2023-09-03 04:30:00,55048.74,13438.0,3244.86,0.0
2023-09-03 04:45:00,55429.92,13438.0,3179.58,0.02
2023-09-03 05:00:00,56078.76,13438.0,3080.45,0.58
2023-09-03 05:15:00,56801.81,14038.0,3001.3,1.79
2023-09-03 05:30:00,57557.26,14638.0,2941.47,31.6
2023-09-03 05:45:00,57986.86,15238.0,2889.8,133.35
2023-09-03 06:00:00,58586.42,15852.0,2835.41,347.56
2023-09-03 06:15:00,58528.92,15855.0,2775.48,656.27
2023-09-03 06:30:00,58262.8,15858.0,2722.22,1042.78
2023-09-03 06:45:00,57728.48,15861.0,2675.57,1502.41
2023-09-03 07:00:00,57176.33,16234.0,2580.96,2037.88
2023-09-03 07:15:00,57075.6,16607.0,2458.79,2635.46
2023-09-03 07:30:00,57038.25,16980.0,2313.26,3274.51
2023-09-03 07:45:00,56903.38,17375.0,2139.23,3909.87
2023-09-03 08:00:00,56416.62,17591.0,1997.38,4441.95
2023-09-03 08:15:00,56460.29,17667.0,1876.14,5043.41
2023-09-03 08:30:00,56297.24,17743.0,1771.7,5611.84
2023-09-03 08:45:00,56114.59,17839.0,1683.14,6142.6
2023-09-03 09:00:00,55360.73,17698.0,1643.45,6621.75
2023-09-03 09:15:00,55136.35,17706.0,1630.66,7066.11
2023-09-03 09:30:00,54978.02,17714.0,1618.93,7459.54
2023-09-03 09:45:00,55037.12,17722.0,1609.13,7804.52
2023-09-03 10:00:00,55345.94,17733.0,1606.22,8105.11
2023-09-03 10:15:00,55605.04,16852.0,1613.96,8355.18
2023-09-03 10:30:00,55915.11,15971.0,1635.96,8551.98
2023-09-03 10:45:00,56169.22,15090.0,1670.74,8706.27
2023-09-03 11:00:00,56647.54,13982.0,1676.6,8822.47
2023-09-03 11:15:00,55354.98,13772.0,1671.76,8900.34
2023-09-03 11:30:00,54030.89,13562.0,1638.58,8945.43
2023-09-03 11:45:00,52721.61,13332.0,1590.08,8937.62
2023-09-03 12:00:00,52555.18,13334.0,1540.39,8904.34
2023-09-03 12:15:00,52622.87,13333.0,1489.64,8859.17
2023-09-03 12:30:00,53024.04,13332.0,1450.4,8768.14
2023-09-03 12:45:00,53746.51,13331.0,1425.7,8650.21
2023-09-03 13:00:00,54245.49,13329.0,1409.98,8506.49
2023-09-03 13:15:00,54939.98,14209.0,1406.09,8318.55
2023-09-03 13:30:00,55687.1,15089.0,1403.24,8075.5
2023-09-03 13:45:00,56478.29,15969.0,1406.11,7795.09
2023-09-03 14:00:00,57363.75,16868.0,1409.63,7454.75
2023-09-03 14:15:00,58099.05,16863.0,1421.39,7099.08
2023-09-03 14:30:00,59001.61,16858.0,1429.12,6703.61
2023-09-03 14:45:00,59520.08,16853.0,1440.55,6287.78
2023-09-03 15:00:00,60350.22,16845.0,1464.34,5841.99
2023-09-03 15:15:00,61055.22,16975.0,1491.42,5364.8
2023-09-03 15:30:00,61871.48,17105.0,1517.14,4866.38
2023-09-03 15:45:00,62562.68,17235.0,1540.91,4332.11
2023-09-03 16:00:00,63521.61,17367.0,1564.56,3750.49
2023-09-03 16:15:00,64476.35,17351.0,1587.82,3178.16
2023-09-03 16:30:00,65448.4,17335.0,1608.58,2601.41
2023-09-03 16:45:00,66358.86,17319.0,1643.84,2048.75
2023-09-03 17:00:00,67462.93,17510.0,1702.92,1541.6
2023-09-03 17:15:00,67993.21,17719.0,1777.36,1070.7
2023-09-03 17:30:00,68407.53,17928.0,1851.64,671.05
2023-09-03 17:45:00,68647.83,18157.0,1927.63,357.35
2023-09-03 18:00:00,69149.55,18160.0,2025.39,150.36
2023-09-03 18:15:00,69408.6,18185.0,2119.92,42.17
2023-09-03 18:30:00,69691.88,18210.0,2203.75,9.77
2023-09-03 18:45:00,69869.95,18235.0,2288.66,1.46
2023-09-03 19:00:00,69785.74,18258.0,2382.35,0.0
2023-09-03 19:15:00,69455.09,18262.0,2464.1,0.0
2023-09-03 19:30:00,68964.74,18266.0,2553.05,0.0
2023-09-03 19:45:00,68475.96,18270.0,2652.08,0.0
2023-09-03 20:00:00,68034.65,18271.0,2730.82,0.0
2023-09-03 20:15:00,67389.08,18251.0,2803.49,0.0
2023-09-03 20:30:00,66729.52,18231.0,2875.91,0.0
2023-09-03 20:45:00,66159.28,18211.0,2954.24,0.0
2023-09-03 21:00:00,65975.55,17823.0,3019.74,0.0
2023-09-03 21:15:00,65229.06,17456.0,3070.54,0.0
2023-09-03 21:30:00,64572.29,17089.0,3111.64,0.0
2023-09-03 21:45:00,63860.08,16700.0,3176.28,0.0
2023-09-03 22:00:00,63347.46,16491.0,3175.69,0.0
2023-09-03 22:15:00,62643.16,15684.0,3182.68,0.0
2023-09-03 22:30:00,61620.84,14877.0,3185.24,0.0
2023-09-03 22:45:00,60638.75,14050.0,3176.36,0.0
2023-09-03 23:00:00,59669.5,13439.0,3132.56,0.0
2023-09-03 23:15:00,58708.72,13439.0,3084.35,0.0
2023-09-03 23:30:00,57865.4,13439.0,3046.28,0.0
2023-09-03 23:45:00,57017.73,13439.0,3082.24,0.0
2023-09-04 00:00:00,57786.41,13439.0,3243.83,0.0
2023-09-04 00:15:00,57308.51,13438.0,3210.23,0.0
2023-09-04 00:30:00,56829.84,13437.0,3158.6,0.0
2023-09-04 00:45:00,56475.01,13436.0,3086.87,0.0
2023-09-04 01:00:00,55954.81,13438.0,2982.33,0.0
2023-09-04 01:15:00,55692.86,13438.0,2885.95,0.0
2023-09-04 01:30:00,55327.94,13438.0,2801.33,0.0
2023-09-04 01:45:00,55013.47,13438.0,2718.28,0.0
2023-09-04 02:00:00,54891.11,13438.0,2599.53,0.0
2023-09-04 02:15:00,54665.76,13438.0,2481.82,0.0
2023-09-04 02:30:00,54495.88,13438.0,2373.62,0.0
2023-09-04 02:45:00,54302.18,13438.0,2278.8,0.0
2023-09-04 03:00:00,54180.29,13438.0,2195.77,0.0
2023-09-04 03:15:00,54146.14,13438.0,2110.02,0.0
2023-09-04 03:30:00,54111.93,13438.0,2003.21,0.0
2023-09-04 03:45:00,54244.04,13438.0,1884.96,0.0
